Plot;Treatment;Basalt_type_exp;Dose_response_exp.;Sampled_on;Daysafterstart;EC;unit;EC_µS_cm;pH;DOC_raw;DOC;DIC_raw;DIC_minus_blanks;DIC;DTC_raw;DTC;Unit;measured_pH_EC_on;measured_by;Notes;Alkalinity_mg_l_CaCO3;Alkalinity_meq_l;Alk_meq_l_corr;NH4-N_mgN_l;NO2-N_mgN_l;NO3-N_mgN_l;PO4-P_mgP_l;SO4_mgSO4_l;Cl_mgCl_l;Ca_mg_l;Fe_mg_l;K_mg_l;Mg_mg_l;Na_mg_l;Ni_mg_l;P_mg_l;Al_mg_l;Si_mg_l
12;Huhnerberg_20;N;Y;25/07/2023;63;104.1;µs/cm;104.10;6.61;23.397;19.868;2.9025;6.0755;6.0755;26.3;25.944;mg/l;28/jul/23;Lien;;49;1.0;0.98;0.788;0.0001;1.52;0.51;<4;3.9;10.18;0.100;6.03;2.86;3.43;<0,001;;0.308;2.821
13;Eifelgold_50;Y;N;25/07/2023;63;151.9;µs/cm;151.90;6.99;38.929;35.4;4.756;7.929;7.929;43.6855;43.3295;mg/l;28/jul/23;Lien;;61;1.2;1.22;0.975;0.0003;1.35;0.72;<4;5.4;6.40;0.232;16.10;2.09;13.37;<0,001;;0.219;6.500
14;Huhnerberg_50;Y;Y;25/07/2023;63;226.8;µs/cm;226.80;7.73;;;;;;;;;28/jul/23;Lien;;72;1.4;1.43;;;;;;;;;;;;;;;
15;Bolsdorfer_50;Y;N;25/07/2023;63;157.1;µs/cm;157.10;7.26;23.552;20.023;7.1575;10.3305;10.3305;30.709;30.353;mg/l;28/jul/23;Lien;;58;1.2;1.16;0.404;0.0003;2.07;0.47;<4;3.3;12.40;0.118;12.50;2.90;8.82;<0,001;;0.123;5.031
16;Huhnerberg_30;N;Y;25/07/2023;63;234.2;µs/cm;234.20;7.20;28.179;24.65;5.7705;8.9435;8.9435;33.95;33.594;mg/l;28/jul/23;Lien;;51;1.0;1.01;0.225;0.0005;8.93;0.43;9.3;6.4;22.39;0.116;10.32;6.35;8.52;<0,001;;0.045;5.436
17;Lime_02;Y;N;25/07/2023;63;127.6;µs/cm;127.60;6.81;19.401;15.872;2.5965;5.7695;5.7695;21.998;21.642;mg/l;28/jul/23;Lien;;36;0.7;0.71;0.437;0.0006;3.20;1.01;<4;5.4;12.28;0.075;9.94;3.58;1.02;<0,001;;0.109;1.939
18;Control;Y;Y;25/07/2023;63;126.7;µs/cm;126.70;7.12;25.415;21.886;2.2165;5.3895;5.3895;27.6315;27.2755;mg/l;28/jul/23;Lien;;35;0.7;0.69;0.468;0.0010;3.45;0.98;<4;4.2;10.76;0.138;13.04;2.89;2.96;<0,001;;0.118;2.367
19;Huhnerberg_50;Y;Y;25/07/2023;63;152.2;µs/cm;152.20;7.56;24.257;20.728;6.334;9.507;9.507;30.591;30.235;mg/l;28/jul/23;Lien;;56;1.1;1.11;0.590;0.0011;2.39;0.45;<4;4.6;12.86;0.138;6.38;4.99;8.40;<0,001;;0.065;4.259
20;Bolsdorfer_50;Y;N;25/07/2023;63;267.5;µs/cm;267.50;6.72;21.453;17.924;2.094;5.267;5.267;23.5465;23.1905;mg/l;28/jul/23;Lien;;40;0.8;0.81;0.350;0.0010;18.58;0.46;<4;3.2;26.51;0.093;6.62;5.98;10.26;<0,001;;0.103;4.463
21;Eifelgold_50;Y;N;25/07/2023;63;155.1;µs/cm;155.10;7.52;20.874;17.345;6.3015;9.4745;9.4745;27.1755;26.8195;mg/l;28/jul/23;Lien;;56;1.1;1.11;;;;;;;12.35;0.120;11.64;3.75;8.33;<0,001;;0.167;4.415
1;Control;Y;Y;6/09/2023;106;175.9;µS/cm;175.90;7.42;19.771;15.958;0.892;4.25;4.25;20.663;20.208;mg/l;;Emma;;14;0.28;0.28;0.12;0.0004;7.99;0.29;7;12;14.64;0.076;16.19;4.19;2.30;<0,001;;0.212;2.389
