rbf #,sample ID,date fractionation,Plot,Sampling_year,SOM_fraction,mass filter(s),mass filter(s)  + dried som,mass som on filter,mass som on filter corr,mass soil,moisture content,mass soil corr,mass rbf,mass rbf + som fraction freeze-dried,mass som fraction,total mass som fractions,recovery (%),som fraction (%)
78,8_2025_MAOM,20/03/2026,8,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.06,,,,184.3,,,,
77,12_2025_MAOM,20/03/2026,12,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.16,,,,186.15,,,,
76,16_2025_MAOM,20/03/2026,16,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.17,,,,168.03,,,,
153,2_2025_fPOM,23/03/2026,2,2025,fPOM,0.107,0.115,0.008,0.008,10.12,,,,106.115,,,,
152,3_2026_fPOM,23/03/2026,3,2026,fPOM,0.107,0.118,0.011,0.011,9.06,,,,106.51,,,,
154,5_2026_fPOM,23/03/2026,5,2026,fPOM,0.106,0.108,0.002,0.002,9.24,,,,105.751,,,,
151,2_2025_oPOM,23/03/2026,2,2025,oPOM,0.107,0.496,0.389,0.389,10.12,,,,106.723,,,,
147,3_2026_oPOM,23/03/2026,3,2026,oPOM,0.105,0.3,0.195,0.195,9.06,,,,104.251,,,,
146,5_2026_oPOM,23/03/2026,5,2026,oPOM,0.106,0.444,0.338,0.338,9.24,,,,106.332,,,,
149,2_2025_MAOM,23/03/2026,2,2025,MAOM,NA,NA,#VALUE!,#VALUE!,10.12,,,,174.07,,,,
148,3_2026_MAOM,23/03/2026,3,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.06,,,,185.32,,,,
139,5_2026_MAOM,23/03/2026,5,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.24,,,,186,,,,
145,7_2026_fPOM,24/03/2026,7,2026,fPOM,0.107,0.109,0.002,0.002,9.29,,,,103.812,,,,
135,8_2026_fPOM,24/03/2026,8,2026,fPOM,0.11,0.117,0.007,0.007,9.09,,,,103.913,,,,
144,12_2026_fPOM,24/03/2026,12,2026,fPOM,0.106,0.115,0.009,0.009,9.13,,,,104.668,,,,
137,16_2026_fPOM,24/03/2026,16,2026,fPOM,0.107,0.112,0.005,0.005,9.18,,,,104.264,,,,
131,7_2026_oPOM,24/03/2026,7,2026,oPOM,0.11,0.348,0.238,0.238,9.29,,,,105.08,,,,
136,8_2026_oPOM,24/03/2026,8,2026,oPOM,0.108,0.26,0.152,0.152,9.09,,,,97.645,,,,
134,12_2026_oPOM,24/03/2026,12,2026,oPOM,0.107,0.285,0.178,0.178,9.13,,,,104.74,,,,
132,16_2026_oPOM,24/03/2026,16,2026,oPOM,0.107,0.455,0.348,0.348,9.18,,,,106.278,,,,
141,7_2026_MAOM,24/03/2026,7,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.29,,,,183.46,,,,
142,8_2026_MAOM,24/03/2026,8,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.09,,,,184.82,,,,
143,12_2026_MAOM,24/03/2026,12,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.13,,,,184.02,,,,
140,16_2026_MAOM,24/03/2026,16,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.18,,,,184.8,,,,
133,1_2025_fPOM,25/03/2026,1,2025,fPOM,0.109,0.115,0.006,0.006,7.07,,,,105.213,,,,
138,21_2023_fPOM,25/03/2026,21,2023,fPOM,0.109,0.12,0.011,0.011,9.35,,,,104.271,,,,
126,1_2025_oPOM,25/03/2026,1,2025,oPOM,0.104,0.293,0.189,0.189,7.07,,,,106.616,,,,
68,21_2023_oPOM,25/03/2026,21,2023,oPOM,0.107,0.315,0.208,0.208,9.35,,,,103.705,,,,
155,1_2025_MAOM,25/03/2026,1,2025,MAOM,NA,NA,#VALUE!,#VALUE!,7.07,,,,179.61,,,,
75,21_2023_MAOM,25/03/2026,21,2023,MAOM,NA,NA,#VALUE!,#VALUE!,9.35,,,,182.14,,,,
