"rbf..","sample.ID","date.fractionation","Plot","Sampling_year","SOM_fraction","mass.filter.s.","mass.filter.s.....dried.som","mass.som.on.filter","mass.som.on.filter.corr","mass.soil","mass.soil.corr","mass.rbf...som.fraction.freeze.dried","mass.som.fraction","total.mass.som.fractions","moisture_content","mass_rbf","Tmt","App_rate","Basalt_type_exp","Dose_resp_exp","recovery_percent","fraction_prop","core_id","Ctotal","Ntotal","CN","C_bulk","N_bulk","CN_bulk","Cprop","Nprop"
26,"10_2025_fPOM","05/03/2026",10,2025,"fPOM",0.109,0.108,"-0.001",0,9,8.938865619,103.737,0.176999999999992,9.524,0.006792709,103.56,"Lime","2","Y","N",106.545957909427,1.85846283074331,"10_2025",10.65277767,0.721172094,14.7714779296493,2.120475061,0.58295738,3.64571770639638,9.33648865199612,2.29909008316923
31,"10_2025_oPOM","05/03/2026",10,2025,"oPOM",0.107,0.344,"0.237",0.237,9,8.938865619,176.84,0.507000000000005,9.524,0.006792709,176.57,"Lime","2","Y","N",106.545957909427,5.32339353212941,"10_2025",17.22,1.15,14.9739130434783,2.120475061,0.58295738,3.64571770639638,43.2303299903174,10.5014582059992
11,"10_2025_MAOM","05/03/2026",10,2025,"MAOM",NA,NA,"#VALUE!",0,9,8.938865619,183.97,8.84,9.524,0.006792709,175.13,"Lime","2","Y","N",106.545957909427,92.8181436371273,"10_2025",0.86,0.07,12.2857142857143,2.120475061,0.58295738,3.64571770639638,37.6442076570734,11.1453603256535
23,"11_2025_fPOM","06/03/2026",11,2025,"fPOM",0.105,0.116,"0.011",0.011,9.04,8.98543398144,109.293,0.0940000000000083,9.14999999999999,0.006036064,109.21,"Control","0","Y","Y",101.831475462397,1.02732240437168,"11_2025",14.92877674,0.927558482,16.0947013365784,2.32016281866667,0.395626186666667,8.23034691127749,6.61016834313305,2.40859084165338
17,"11_2025_oPOM","06/03/2026",11,2025,"oPOM",0.104,0.34,"0.236",0.236,9.04,8.98543398144,175.99,0.265999999999991,9.14999999999999,0.006036064,175.96,"Control","0","Y","Y",101.831475462397,2.90710382513652,"11_2025",38.11,2.48,15.366935483871,2.32016281866667,0.395626186666667,8.23034691127749,47.7508413998378,18.2233070744961
5,"11_2025_MAOM","06/03/2026",11,2025,"MAOM",NA,NA,"#VALUE!",0,9.04,8.98543398144,168.03,8.78999999999999,9.14999999999999,0.006036064,159.24,"Control","0","Y","Y",101.831475462397,96.0655737704918,"11_2025",1.31,0.1,13.1,2.32016281866667,0.395626186666667,8.23034691127749,54.2401165240914,24.2819047393927
116,"12_2025_fPOM","20/03/2026",12,2025,"fPOM",0.107,0.111,"0.004",0.004,9.16,9.11828056932,103.185,0.0180000000000007,9.64400000000001,0.004554523,103.171,"Huhnerberg","20","N","Y",105.765554445088,0.186644545831612,"12_2025",22.21256638,1.374686241,16.1582808625783,2.13942744133333,0.278256957333333,7.96767742010892,1.93783359213428,0.922089034435348
121,"12_2025_oPOM","20/03/2026",12,2025,"oPOM",0.107,0.373,"0.266",0.266,9.16,9.11828056932,109.762,0.786000000000001,9.64400000000001,0.004554523,109.242,"Huhnerberg","20","N","Y",105.765554445088,8.1501451679801,"12_2025",6.22,0.42,14.8095238095238,2.13942744133333,0.278256957333333,7.96767742010892,23.6950793307778,12.3017983210786
77,"12_2025_MAOM","20/03/2026",12,2025,"MAOM",NA,NA,"#VALUE!",0,9.16,9.11828056932,186.15,8.84,9.64400000000001,0.004554523,177.31,"Huhnerberg","20","N","Y",105.765554445088,91.6632102861883,"12_2025",1.03,0.08,12.875,2.13942744133333,0.278256957333333,7.96767742010892,44.1300811472876,26.3535434771198
29,"13_2025_fPOM","06/03/2026",13,2025,"fPOM",0.106,0.116,"0.01",0.01,9.03,8.99996753838,101.039,0.161000000000001,9.08600000000001,0.003325854,100.888,"Eifelgold","50","Y","N",100.955919688078,1.77195685670263,"13_2025",7.258448601,0.4321931,16.7944573872188,1.70190251166667,0.142064419666667,12.1390229369867,7.5572235656261,5.39070605265885
40,"13_2025_oPOM","06/03/2026",13,2025,"oPOM",0.108,0.223,"0.115",0.115,9.03,8.99996753838,163.03,0.105000000000018,9.08600000000001,0.003325854,163.04,"Eifelgold","50","Y","N",100.955919688078,1.15562403698017,"13_2025",30.98,2.03,15.2610837438424,1.70190251166667,0.142064419666667,12.1390229369867,21.0360067161459,16.5130495065132
30,"13_2025_MAOM","06/03/2026",13,2025,"MAOM",NA,NA,"#VALUE!",0,9.03,8.99996753838,189.51,8.81999999999999,9.08600000000001,0.003325854,180.69,"Eifelgold","50","Y","N",100.955919688078,97.0724191063172,"13_2025",1.15,0.09,12.7777777777778,1.70190251166667,0.142064419666667,12.1390229369867,65.5932294635036,61.4968740242455
34,"14_2025_fPOM","09/03/2026",14,2025,"fPOM",0.107,0.114,"0.007",0.007,9.16,9.16,103.614,0.0810000000000031,9.50600000000001,0,103.54,"Huhnerberg","50","Y","Y",103.777292576419,0.852093414685493,"14_2025",15.09079266,0.984763682,15.3242782363292,2.087194522,0.163787577,12.7517199660188,6.16078899807029,5.12316418511789
41,"14_2025_oPOM","09/03/2026",14,2025,"oPOM",0.108,0.303,"0.195",0.195,9.16,9.16,178.69,0.534999999999997,9.50600000000001,0,178.35,"Huhnerberg","50","Y","Y",103.777292576419,5.6280244056385,"14_2025",21.75,1.51,14.4039735099338,2.087194522,0.163787577,12.7517199660188,58.6478785433672,51.8862114463915
10,"14_2025_MAOM","10/03/2026",14,2025,"MAOM",NA,NA,"#VALUE!",0,9.16,9.16,183.56,8.89000000000001,9.50600000000001,0,174.67,"Huhnerberg","50","Y","Y",103.777292576419,93.519882179676,"14_2025",1.06,0.09,11.7777777777778,2.087194522,0.163787577,12.7517199660188,47.4948904213618,51.3884480760762
36,"15_2025_fPOM","09/03/2026",15,2025,"fPOM",0.109,0.119,"0.01",0.01,9.06,9.01701989454,103.318,0.135000000000005,8.992,0.004743941,103.193,"Bolsdorfer","50","Y","N",99.7225259028746,1.50133451957301,"15_2025",8.796712875,0.576711416,15.2532317393904,1.975471964,0.478515576,6.7909742104591,6.68539414311315,1.80942230535173
42,"15_2025_oPOM","09/03/2026",15,2025,"oPOM",0.109,0.206,"0.097",0.097,9.06,9.01701989454,175.41,0.0870000000000175,8.992,0.004743941,175.42,"Bolsdorfer","50","Y","N",99.7225259028746,0.967526690391653,"15_2025",30.16,1.93,15.6269430051813,1.975471964,0.478515576,6.7909742104591,14.7714599417176,3.90233172358822
7,"15_2025_MAOM","10/03/2026",15,2025,"MAOM",NA,NA,"#VALUE!",0,9.06,9.01701989454,172.38,8.76999999999998,8.992,0.004743941,163.61,"Bolsdorfer","50","Y","N",99.7225259028746,97.5311387900353,"15_2025",1.27,0.1,12.7,1.975471964,0.478515576,6.7909742104591,62.7012422958106,20.3820196628323
129,"16_2025_fPOM","20/03/2026",16,2025,"fPOM",0.105,0.105,"0",0,9.17,9.12790717825,104.621,0.134,9.346,0.004590275,104.487,"Huhnerberg","30","N","Y",102.389297102732,1.43376845709395,"16_2025",19.54231834,1.318921447,14.8168932914471,3.034160509,0.549974083,5.58327877804025,9.23456736427405,3.4383946926701
130,"16_2025_oPOM","20/03/2026",16,2025,"oPOM",0.107,0.312,"0.205",0.205,9.17,9.12790717825,108.432,0.432000000000002,9.346,0.004590275,108.205,"Huhnerberg","30","N","Y",102.389297102732,4.62229830943721,"16_2025",25.63,1.77,14.4802259887006,3.034160509,0.549974083,5.58327877804025,39.0452335397118,14.8760973663988
76,"16_2025_MAOM","20/03/2026",16,2025,"MAOM",NA,NA,"#VALUE!",0,9.17,9.12790717825,168.03,8.78,9.346,0.004590275,159.25,"Huhnerberg","30","N","Y",102.389297102732,93.9439332334688,"16_2025",0.7,0.05,14,3.034160509,0.549974083,5.58327877804025,21.6734589578788,8.54076002281992
33,"17_2025_fPOM","09/03/2026",17,2025,"fPOM",0.106,0.112,"0.006",0.006,9.19,9.16235521178,106.045,0.0970000000000084,9.23500000000004,0.003008138,105.954,"Lime","2","Y","N",100.792861513671,1.05035192203582,"17_2025",18.26158524,1.177766442,15.5052687772199,2.188157071,0.609336913,3.62343890552785,8.76586576460395,2.03018924288276
43,"17_2025_oPOM","09/03/2026",17,2025,"oPOM",0.106,0.334,"0.228",0.228,9.19,9.16235521178,179.03,0.248000000000019,9.23500000000004,0.003008138,179.01,"Lime","2","Y","N",100.792861513671,2.68543584190599,"17_2025",39.02,2.7,14.4518518518519,2.188157071,0.609336913,3.62343890552785,47.8876530117118,11.8992902259085
38,"17_2025_MAOM","10/03/2026",17,2025,"MAOM",NA,NA,"#VALUE!",0,9.19,9.16235521178,177.84,8.89000000000001,9.23500000000004,0.003008138,168.95,"Lime","2","Y","N",100.792861513671,96.2642122360582,"17_2025",0.87,0.07,12.4285714285714,2.188157071,0.609336913,3.62343890552785,38.2741557977355,11.0587340316343
35,"18_2025_fPOM","09/03/2026",18,2025,"fPOM",0.107,0.12,"0.013",0.013,9.09,9.06110472618,104.711,0.243000000000009,9.28700000000002,0.003178798,104.481,"Control","0","Y","Y",102.493021332899,2.61656078389155,"18_2025",10.60915661,0.703992665,15.0699817447672,1.88699997066667,0.413721045,6.29525631790391,14.7109186896715,4.45237103997527
52,"18_2025_oPOM","09/03/2026",18,2025,"oPOM",0.107,0.291,"0.184",0.184,9.09,9.06110472618,167.87,0.26400000000001,9.28700000000002,0.003178798,167.79,"Control","0","Y","Y",102.493021332899,2.84268332077107,"18_2025",38,2.48,15.3225806451613,1.88699997066667,0.413721045,6.29525631790391,57.2453459822456,17.0401160896039
39,"18_2025_MAOM","10/03/2026",18,2025,"MAOM",NA,NA,"#VALUE!",0,9.09,9.06110472618,172.11,8.78,9.28700000000002,0.003178798,163.33,"Control","0","Y","Y",102.493021332899,94.5407558953374,"18_2025",0.98,0.07,14,1.88699997066667,0.413721045,6.29525631790391,49.0990684778325,15.9959300902221
27,"19_2025_fPOM","09/03/2026",19,2025,"fPOM",0.111,0.112,"0.001",0.001,9.1,9.0789276396,105.972,0.207999999999998,9.11599999999999,0.002315644,105.765,"Huhnerberg","50","Y","Y",100.408334132308,2.28170250109696,"19_2025",20.75147247,1.313457489,15.7991199896383,2.43599037166667,0.513440778666667,6.26627359007417,19.4371403052174,5.83693263616187
